id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9
1,Christopher,FROOME,GBR,1985-05-20,SKY,,,,,,,,3,10,,,,,,,,,,,,,,
101,Mark,CAVENDISH,GBR,1985-05-21,DDD,,,,,,,,,,,,,,,,,,,,,,,
102,Natnael,BERHANE,ERI,1991-01-05,DDD,,,,,,,,,,,,,,,,,,,,,,,
103,Edvald,BOASSON HAGEN,NOR,1987-05-17,DDD,,,,,,,,,,,,,,,,,,,,,,,
104,Stephen,CUMMINGS,GBR,1981-03-19,DDD,,,,,,,3,11,18,,,,,,,,,,,,,,
105,Bernhard,EISEL,AUT,1981-02-17,DDD,,,,,,,,,,,,,,,,,,,,,,,
106,Reinardt,JANSE VAN RENSBURG,RSA,1989-02-03,DDD,,,,,,,,,,,,,,,,,,,,,,,
107,Serge,PAUWELS,BEL,1983-11-21,DDD,,,,,,,,,,,,,,,,,,,,,,,
108,Mark,RENSHAW,AUS,1982-10-22,DDD,,,,,,,,,,,,,,,,,,,,,,,
109,Daniel,TEKLEHAIMANOT,ERI,1988-11-10,DDD,,,,,,,,,,,,,,,,,,,,,,,
11,Nairo Alexander,QUINTANA ROJAS,COL,1990-02-04,MOV,,,,,,,,13,20,,,,,,,,,,,,,,
111,WARREN,BARGUIL,FRA,1991-10-28,TGA,,,,,,,,,,,,,,,,,,,,,,,
112,Roy,CURVERS,NED,1979-12-27,TGA,,,,,,,,,,,,,,,,,,,,,,,
113,John,DEGENKOLB,GER,1989-01-07,TGA,,,,,,,,,,,,,,,,,,,,,,,
114,Tom,DUMOULIN,NED,1990-11-11,TGA,,,,,,,,,3,,,,,,,,,,,,,,
115,Simon,GESCHKE,GER,1986-03-13,TGA,,,,,,,,,,,,,,,,,,,,,,,
116,Georg,PREIDLER,AUT,1990-06-17,TGA,,,,,,,,,,,,,,,,,,,,,,,
117,Ramon,SINKELDAM,NED,1989-02-09,TGA,,,,,,,,,,,,,,,,,,,,,,,
118,Laurens,TEN DAM,NED,1980-11-13,TGA,,,,,,,,,,,,,,,,,,,,,,,
119,Albert,TIMMER,NED,1985-06-13,TGA,,,,,,,,,,,,,,,,,,,,,,,
12,Alejandro,VALVERDE BELMONTE,ESP,1980-04-25,MOV,,,,,,,,12,19,,,,,,,,,,,,,,
121,Thibaut,PINOT,FRA,1990-05-29,FDJ,,,,,,,,2,1,,,,,,,,,,,,,,
122,William,BONNET,FRA,1982-06-25,FDJ,,,,,,,,,,,,,,,,,,,,,,,
123,Matthieu,LADAGNOUS,FRA,1984-12-12,FDJ,,,,,,,,,,,,,,,,,,,,,,,
124,Steve,MORABITO,SUI,1983-01-30,FDJ,,,,,,,,,,,,,,,,,,,,,,,
125,Cedric,PINEAU,FRA,1985-05-08,FDJ,,,,,,,,,,,,,,,,,,,,,,,
126,Sébastien,REICHENBACH,SUI,1989-05-28,FDJ,,,,,,,,,,,,,,,,,,,,,,,
127,Anthony,ROUX,FRA,1987-04-18,FDJ,,,,,,,,,,,,,,,,,,,,,,,
128,Jérémy,ROY,FRA,1983-06-22,FDJ,,,,,,,,,,,,,,,,,,,,,,,
129,Arthur,VICHOT,FRA,1988-11-26,FDJ,,,,,,,,,,,,,,,,,,,,,,,
13,Winner Andrew,ANACONA GOMEZ,COL,0001-01-01,MOV,,,,,,,,,8,,,,,,,,,,,,,,
131,Emanuel,BUCHMANN,GER,1992-11-18,BOA,,,,,,,,,,,,,,,,,,,,,,,
132,Shane,ARCHBOLD,NZL,1989-02-02,BOA,,,,,,,,,,,,,,,,,,,,,,,
133,Jan,BARTA,CZE,1984-07-12,BOA,,,,,,5,9,20,27,,,,,,,,,,,,,,
134,Cesare,BENEDETTI,ITA,1987-08-03,BOA,,,,,,,,,,,,,,,,,,,,,,,
135,Sam,BENNETT,IRL,1990-10-16,BOA,,,,,,,,,,,,,,,,,,,,,,,
136,Bartosz,HUZARSKI,POL,1980-10-27,BOA,,,,,,,,,,,,,,,,,,,,,,,
137,Patrick,KONRAD,AUT,1991-10-13,BOA,,,,,,,,,,,,,,,,,,,,,,,
138,Andreas,SCHILLINGER,GER,1983-07-13,BOA,,,,,,,,,,,,,,,,,,,,,,,
139,Paul,VOSS,GER,1986-03-26,BOA,1,2,2,2,5,7,11,23,31,,,,,,,,,,,,,,
14,Imanol,ERVITI OLLO,ESP,1983-11-15,MOV,,,,,,,,,,,,,,,,,,,,,,,
141,Joaquim,RODRIGUEZ,ESP,1979-05-12,KAT,,,,,,,,,,,,,,,,,,,,,,,
142,Jacopo,GUARNIERI,ITA,1987-08-14,KAT,,,,,,,,,,,,,,,,,,,,,,,
143,Marco,HALLER,AUT,1991-04-01,KAT,,,,,,,,,,,,,,,,,,,,,,,
144,Alexander,KRISTOFF,NOR,1987-07-05,KAT,,,,,,,,,,,,,,,,,,,,,,,
145,Alberto,LOSADA ALGUACIL,ESP,1982-02-28,KAT,,,,,,,,,,,,,,,,,,,,,,,
146,Michael,MORKOV,DEN,1985-04-30,KAT,,,,,,,,,,,,,,,,,,,,,,,
147,Jurgen,VAN DEN BROECK,BEL,1983-02-01,KAT,,,,,,,,,,,,,,,,,,,,,,,
148,Angel,VICIOSO ARCOS,ESP,1977-04-13,KAT,,,,,,,,,,,,,,,,,,,,,,,
149,Ilnur,ZAKARIN,RUS,1989-09-15,KAT,,,,,,,,,,,,,,,,,,,,,,,
15,Jesus,HERRADA LOPEZ,ESP,1990-07-26,MOV,,,,,,,,,34,,,,,,,,,,,,,,
151,Rui Alberto,COSTA,POR,1986-05-10,LAM,,,,,,,,,4,,,,,,,,,,,,,,
152,Yukiya,ARASHIRO,JPN,1984-09-22,LAM,,,,,,6,10,22,30,,,,,,,,,,,,,,
153,Matteo,BONO,ITA,1983-11-11,LAM,,,,,,,,,,,,,,,,,,,,,,,
154,Davide,CIMOLAI,ITA,1989-08-13,LAM,,,,,,,,,,,,,,,,,,,,,,,
155,Kristijan,DURASEK,CRO,1987-07-26,LAM,,,,,,,,,,,,,,,,,,,,,,,
156,Tsgabu Gebremaryam,GRMAY,ETH,1991-08-25,LAM,,,,,,,,,,,,,,,,,,,,,,,
157,Louis,MEINTJES,RSA,1992-02-21,LAM,,,,,,,,,,,,,,,,,,,,,,,
158,Luka,PIBERNIK,SLO,1993-10-23,LAM,,,,,,,,,,,,,,,,,,,,,,,
159,Jan,POLANC,SLO,1992-05-06,LAM,,,,,,,,,,,,,,,,,,,,,,,
16,Gorka,IZAGIRRE INSAUSTI,ESP,1987-07-10,MOV,,,,,,,17,31,41,,,,,,,,,,,,,,
161,André,GREIPEL,GER,1982-07-16,LTS,,,,,,,,,,,,,,,,,,,,,,,
162,Lars,BAK,DEN,1980-01-16,LTS,,,,,,,,,,,,,,,,,,,,,,,
163,Thomas,DE GENDT,BEL,1986-11-06,LTS,,,,,1,1,1,7,5,,,,,,,,,,,,,,
164,Jens,DEBUSSCHERE,BEL,1989-08-28,LTS,,,,,,,,,,,,,,,,,,,,,,,
165,Tony,GALLOPIN,FRA,1988-05-24,LTS,,,,,,,,,,,,,,,,,,,,,,,
166,Adam,HANSEN,AUS,1981-05-11,LTS,,,,,,,,,,,,,,,,,,,,,,,
167,Gregory,HENDERSON,NZL,1976-09-10,LTS,,,,,,,,,,,,,,,,,,,,,,,
168,Jurgen,ROELANDTS,BEL,1985-07-02,LTS,,,,,,,,,,,,,,,,,,,,,,,
169,Marcel,SIEBERG,GER,1982-04-30,LTS,,,,,,,,,,,,,,,,,,,,,,,
17,Jon,IZAGUIRRE INSAUSTI,ESP,1989-02-04,MOV,,,,,,,,,,,,,,,,,,,,,,,
171,Bryan,COQUARD,FRA,1992-04-25,DEN,,,,,,,,,,,,,,,,,,,,,,,
172,Sylvain,CHAVANEL,FRA,1979-06-30,DEN,,,,,,,,,,,,,,,,,,,,,,,
173,Antoine,DUCHESNE,CAN,1991-09-12,DEN,,,,,,,,,,,,,,,,,,,,,,,
174,Yohann,GENE,FRA,1981-06-25,DEN,,,,,,,,,,,,,,,,,,,,,,,
175,Fabrice,JEANDESBOZ,FRA,1984-12-04,DEN,,,,,,,,,,,,,,,,,,,,,,,
176,Adrien,PETIT,FRA,1990-09-26,DEN,,,,,,,,,,,,,,,,,,,,,,,
177,Romain,SICARD,FRA,1988-01-01,DEN,,,,,,,,6,13,,,,,,,,,,,,,,
178,ANGÉLO,TULIK,FRA,1990-12-02,DEN,,,,,,,,,,,,,,,,,,,,,,,
179,Thomas,VOECKLER,FRA,1979-06-22,DEN,,,,,,,,,,,,,,,,,,,,,,,
18,Daniel,MORENO FERNANDEZ,ESP,1981-09-05,MOV,,,,,,,,,,,,,,,,,,,,,,,
181,Marcel,KITTEL,GER,1988-05-11,EQS,,,,,,,,26,,,,,,,,,,,,,,,
182,Julian,ALAPHILIPPE,FRA,1992-11-06,EQS,,,,,,,,,,,,,,,,,,,,,,,
183,Iljo,KEISSE,BEL,1982-12-21,EQS,,,,,,,,,,,,,,,,,,,,,,,
184,Daniel,MARTIN,IRL,1986-08-20,EQS,,,,,,,,24,32,,,,,,,,,,,,,,
185,Tony,MARTIN,GER,1985-04-23,EQS,,,,,,,,4,11,,,,,,,,,,,,,,
186,Ariel Maximiliano,RICHEZE,ARG,1983-03-07,EQS,,,,,,,,,,,,,,,,,,,,,,,
187,Fabio,SABATINI,ITA,0001-01-01,EQS,,,,,,,,,,,,,,,,,,,,,,,
188,Petr,VAKOC,CZE,1992-07-11,EQS,,,,,,,,,,,,,,,,,,,,,,,
189,Julien,VERMOTE,BEL,1989-07-26,EQS,,,,,,,,,,,,,,,,,,,,,,,
19,Nelson,OLIVEIRA,POR,1989-06-03,MOV,,,,,,,,,,,,,,,,,,,,,,,
191,Daniel,NAVARRO GARCIA,ESP,1983-07-18,COF,,,,,,,4,15,6,,,,,,,,,,,,,,
192,Borut,BOZIC,SLO,1980-08-08,COF,,,,,,,,,,,,,,,,,,,,,,,
193,Jérome,COUSIN,FRA,1989-06-05,COF,,,,,,,,,,,,,,,,,,,,,,,
194,Nicolas,EDET,FRA,1987-02-12,COF,,,,,,,,,,,,,,,,,,,,,,,
195,Arnold,JEANNESSON,FRA,1986-01-16,COF,,,,,,,,,,,,,,,,,,,,,,,
196,Christophe,LAPORTE,FRA,1992-11-12,COF,,,,,,,,,,,,,,,,,,,,,,,
197,Cyril,LEMOINE,FRA,1983-03-03,COF,,,,,,,,,,,,,,,,,,,,,,,
198,Luis Angel,MATE MARDONES,ESP,1984-03-23,COF,,,,,,,,,,,,,,,,,,,,,,,
199,GEOFFREY,SOUPE,FRA,1988-03-22,COF,,,,,,,,,,,,,,,,,,,,,,,
2,Sergio,HENAO MONTOYA,COL,1987-12-10,SKY,,,,,,,,5,12,,,,,,,,,,,,,,
201,Simon,GERRANS,AUS,1980-05-16,OBE,,,,,,,,,,,,,,,,,,,,,,,
202,Michael,ALBASINI,SUI,1980-12-20,OBE,,,,,,,,,,,,,,,,,,,,,,,
203,Luke,DURBRIDGE,AUS,1991-04-09,OBE,,,,,,,,,,,,,,,,,,,,,,,
