id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
1,Christopher,FROOME,GBR,1985-05-20T00:00:00,TEAM SKY,12,12,12,12,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
101,Marcel,KITTEL,GER,1988-05-11T00:00:00,QUICK - STEP FLOORS,16,6,176,176,1095,1085,1075,2919,5169,5159,5149,7219,8376,9166,10373,11352,,,,,
102,Jack,BAUER,NZL,1985-07-04T00:00:00,QUICK - STEP FLOORS,49,49,172,172,800,920,920,2764,4523,4523,4523,5952,7109,7240,8447,8611,10268,11678,11678,11713,11713
103,Gianluca,BRAMBILLA,ITA,1987-08-22T00:00:00,QUICK - STEP FLOORS,76,76,312,447,830,830,1085,1843,2623,2664,2750,3715,4467,4485,5712,5805,7757,8118,7468,7617,7617
104,Philippe,GILBERT,BEL,1982-07-05T00:00:00,QUICK - STEP FLOORS,30,30,30,30,373,406,426,1845,3479,3520,3557,4986,5819,5813,6508,,,,,,
105,Daniel,MARTIN,IRL,1986-08-20T00:00:00,QUICK - STEP FLOORS,49,49,43,43,25,25,25,25,104,104,104,101,92,86,72,123,157,176,176,282,282
106,Fabio,SABATINI,ITA,0001-01-01T00:00:00,QUICK - STEP FLOORS,74,74,244,244,1123,1123,1123,2967,5217,5217,5217,7259,8416,9206,10237,11216,13168,14861,14861,15025,15025
107,Zdenek,STYBAR,CZE,1985-12-11T00:00:00,QUICK - STEP FLOORS,39,39,65,65,693,693,713,1919,3553,3553,3623,5693,6526,6524,7555,8534,10486,11287,11287,11388,11532
108,Matteo,TRENTIN,ITA,1989-08-02T00:00:00,QUICK - STEP FLOORS,10,10,133,133,1360,1591,1611,3207,,,,,,,,,,,,,
109,Julien,VERMOTE,BEL,1989-07-26T00:00:00,QUICK - STEP FLOORS,58,118,865,865,1379,1566,1821,3027,5277,5414,5638,7067,7900,7950,9157,10136,12088,13781,13781,13898,13974
11,Romain,BARDET,FRA,1990-09-11T00:00:00,AG2R LA MONDIALE,51,51,51,51,47,47,47,47,51,51,51,25,25,23,23,23,27,23,23,140,140
111,Peter,SAGAN,SVK,1990-01-26T00:00:00,BORA - HANSGROHE,25,25,13,43,,,,,,,,,,,,,,,,,
112,Maciej,BODNAR,POL,1985-03-07T00:00:00,BORA - HANSGROHE,33,33,203,203,1006,1006,1006,2212,4462,4462,4462,6532,7365,7452,8659,8659,10611,12304,12304,12298,12418
113,Emanuel,BUCHMANN,GER,1992-11-18T00:00:00,BORA - HANSGROHE,40,40,40,40,89,89,89,89,526,526,526,854,994,1012,1177,1228,1626,1861,1861,2001,2001
114,Marcus,BURGHARDT,GER,1983-06-30T00:00:00,BORA - HANSGROHE,103,103,307,307,893,893,893,2312,4562,4562,4562,6604,7761,7824,8519,9498,11450,13273,13273,13413,13557
115,Rafal,MAJKA,POL,1989-09-12T00:00:00,BORA - HANSGROHE,49,49,49,49,61,61,61,61,2246,,,,,,,,,,,,
116,Jay,MC CARTHY,AUS,1992-08-09T00:00:00,BORA - HANSGROHE,70,70,165,165,485,485,485,1009,3259,3259,3259,5301,6134,6128,7335,7386,9338,11031,11031,11113,11113
117,Pawel,POLJANSKI,POL,1990-06-05T00:00:00,BORA - HANSGROHE,92,92,199,436,1319,1319,1319,1325,2959,2959,2959,4402,5559,5604,6811,6914,8571,10264,10264,10422,10422
118,Juraj,SAGAN,SVK,1988-12-23T00:00:00,BORA - HANSGROHE,97,97,844,1081,2014,2014,2135,4515,,,,,,,,,,,,,
119,Rüdiger,SELIG,GER,1989-02-19T00:00:00,BORA - HANSGROHE,101,101,848,848,2009,2009,2009,3853,6103,6103,6103,8145,9201,9991,11198,12177,14129,15822,15822,16003,16003
12,Jan,BAKELANTS,BEL,1986-02-14T00:00:00,AG2R LA MONDIALE,65,65,83,83,297,297,297,821,1202,1202,1202,1930,2682,2680,2359,2452,3386,3619,2889,3004,3004
121,Tony,MARTIN,GER,1985-04-23T00:00:00,TEAM KATUSHA ALPECIN,8,594,764,940,1550,1583,1619,3463,5097,5097,5097,6526,7359,7446,7375,8354,10306,11285,11285,11293,11418
122,Marco,HALLER,AUT,1991-04-01T00:00:00,TEAM KATUSHA ALPECIN,89,675,1015,1015,2164,2164,2189,3395,5391,5391,5391,7461,8294,9084,10291,11270,13222,14998,14998,15230,15230
