id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
1,Christopher,FROOME,GBR,1985-05-20T00:00:00,TEAM SKY,0,0,0,0,6,6,6,6,16,16,16,24,25,25,25,25,31,51,51,51,51
101,Marcel,KITTEL,GER,1988-05-11T00:00:00,QUICK - STEP FLOORS,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,
105,Daniel,MARTIN,IRL,1986-08-20T00:00:00,QUICK - STEP FLOORS,0,0,0,0,8,8,8,8,23,23,23,23,23,23,23,23,25,29,29,29,29
11,Romain,BARDET,FRA,1990-09-11T00:00:00,AG2R LA MONDIALE,0,0,0,0,2,2,2,2,8,8,8,15,15,15,15,15,23,47,47,47,47
111,Peter,SAGAN,SVK,1990-01-26T00:00:00,BORA - HANSGROHE,0,0,2,2,,,,,,,,,,,,,,,,,
12,Jan,BAKELANTS,BEL,1986-02-14T00:00:00,AG2R LA MONDIALE,0,0,0,0,2,2,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10
124,Robert,KISERLOVSKI,CRO,1986-09-08T00:00:00,TEAM KATUSHA ALPECIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
128,Nils,POLITT,GER,1994-03-06T00:00:00,TEAM KATUSHA ALPECIN,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
133,Tiesj,BENOOT,BEL,0001-01-01T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15
134,Thomas,DE GENDT,BEL,1986-11-06T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,0,3,3,3,32,32,36,36,38,61,63,64,64,64
135,Tony,GALLOPIN,FRA,1988-05-24T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,23,23,23,23
139,Tim,WELLENS,BEL,1991-10-05T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,0,3,3,3,3,3,3,,,,,,,
141,Michael,MATTHEWS,AUS,1990-09-26T00:00:00,TEAM SUNWEB,0,0,1,1,1,1,1,1,3,3,3,16,16,16,16,16,21,21,21,21,21
143,WARREN,BARGUIL,FRA,1991-10-28T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,7,60,60,60,70,94,94,116,117,129,169,169,169,169
145,Simon,GESCHKE,GER,1986-03-13T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
153,Nicolas,EDET,FRA,1987-02-12T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
157,Daniel,NAVARRO,ESP,1983-07-18T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,19,19,19,19,19
159,Julien,SIMON,FRA,1985-04-10T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7
16,Cyril,GAUTIER,FRA,1987-09-26T00:00:00,AG2R LA MONDIALE,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14
161,Robert,GESINK,NED,1986-05-31T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,8,,,,,,,,,,,,,
166,Primoz,ROGLIC,SLO,1989-10-29T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,0,30,30,30,30,30,30,38,38,80,80,80,80,80
171,Thomas,VOECKLER,FRA,1979-06-22T00:00:00,DIRECT ENERGIE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
