id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
1,Christopher,FROOME,GBR,1985-05-20T00:00:00,TEAM SKY,,,,,3,3,3,6,7,7,7,5,6,6,6,6,8,5,5,5,5
101,Marcel,KITTEL,GER,1988-05-11T00:00:00,QUICK - STEP FLOORS,,,,,,,,,,,,30,,,,,,,,,
105,Daniel,MARTIN,IRL,1986-08-20T00:00:00,QUICK - STEP FLOORS,,,,,2,2,2,3,4,4,4,6,7,7,7,7,10,11,11,11,11
11,Romain,BARDET,FRA,1990-09-11T00:00:00,AG2R LA MONDIALE,,,,,9,10,10,16,13,13,13,13,15,15,16,16,11,6,6,6,6
111,Peter,SAGAN,SVK,1990-01-26T00:00:00,BORA - HANSGROHE,,,2,2,,,,,,,,,,,,,,,,,
12,Jan,BAKELANTS,BEL,1986-02-14T00:00:00,AG2R LA MONDIALE,,,,,6,6,6,8,12,12,12,19,20,20,21,21,24,26,27,27,27
124,Robert,KISERLOVSKI,CRO,1986-09-08T00:00:00,TEAM KATUSHA ALPECIN,,,,,,,,,,,,,,,50,51,51,54,55,55,60
128,Nils,POLITT,GER,1994-03-06T00:00:00,TEAM KATUSHA ALPECIN,,,4,4,8,9,9,15,26,27,27,35,37,37,39,39,39,42,43,43,43
133,Tiesj,BENOOT,BEL,0001-01-01T00:00:00,LOTTO SOUDAL,,,,,,,,,8,8,8,14,16,16,17,17,18,20,20,20,20
134,Thomas,DE GENDT,BEL,1986-11-06T00:00:00,LOTTO SOUDAL,,,,,,,,,21,21,21,2,3,2,3,3,3,3,3,3,3
135,Tony,GALLOPIN,FRA,1988-05-24T00:00:00,LOTTO SOUDAL,,,,,,,,,,,,,,,29,29,19,14,14,14,14
139,Tim,WELLENS,BEL,1991-10-05T00:00:00,LOTTO SOUDAL,,,,,,,,,23,23,23,31,33,33,,,,,,,
141,Michael,MATTHEWS,AUS,1990-09-26T00:00:00,TEAM SUNWEB,,,6,7,14,14,15,22,22,22,22,12,14,14,15,15,13,16,16,16,16
143,WARREN,BARGUIL,FRA,1991-10-28T00:00:00,TEAM SUNWEB,,,,,,,,5,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Simon,GESCHKE,GER,1986-03-13T00:00:00,TEAM SUNWEB,,,,,,,,,,,,,,,,,54,58,60,60,57
153,Nicolas,EDET,FRA,1987-02-12T00:00:00,COFIDIS SOLUTIONS CREDITS,,,,,,,,,,,,,,,,,,59,61,61,58
157,Daniel,NAVARRO,ESP,1983-07-18T00:00:00,COFIDIS SOLUTIONS CREDITS,,,,,,,,,18,18,18,27,29,29,31,32,15,18,18,18,18
159,Julien,SIMON,FRA,1985-04-10T00:00:00,COFIDIS SOLUTIONS CREDITS,,,,,,,,,,,,22,24,24,26,26,29,31,32,32,32
16,Cyril,GAUTIER,FRA,1987-09-26T00:00:00,AG2R LA MONDIALE,,,,,,,,,,,,15,17,17,18,18,20,21,21,21,21
161,Robert,GESINK,NED,1986-05-31T00:00:00,TEAM LOTTO NL - JUMBO,,,,,,,,4,,,,,,,,,,,,,
166,Primoz,ROGLIC,SLO,1989-10-29T00:00:00,TEAM LOTTO NL - JUMBO,,,,,,,,,2,2,2,3,4,4,2,2,2,2,2,2,2
171,Thomas,VOECKLER,FRA,1979-06-22T00:00:00,DIRECT ENERGIE,,,,,,,,,,,,,,41,44,44,44,46,47,47,45
173,Lilian,CALMEJANE,FRA,1992-12-06T00:00:00,DIRECT ENERGIE,,,5,5,10,11,11,1,11,11,11,18,18,18,19,19,21,22,22,22,22
174,Sylvain,CHAVANEL,FRA,1979-06-30T00:00:00,DIRECT ENERGIE,,,,,,,,,,,,,,,,50,50,53,54,54,59
177,Perrig,QUEMENEUR,FRA,1984-04-26T00:00:00,DIRECT ENERGIE,,,,,,7,7,13,24,24,24,32,34,34,36,37,37,40,41,41,41
178,Romain,SICARD,FRA,1988-01-01T00:00:00,DIRECT ENERGIE,,,,,,,,,,,,,39,39,42,42,41,34,26,26,26
181,Pierre,ROLLAND,FRA,1986-10-10T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,,,,,,,,,,,,,,,,,,58,58,52
184,Nathan,BROWN,USA,1991-07-07T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,,1,1,5,5,5,12,20,20,20,30,32,32,35,35,35,38,38,38,38
186,Taylor,PHINNEY,USA,1990-06-27T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,1,3,3,7,8,8,14,25,26,26,34,36,36,38,38,38,41,42,42,42
187,Andrew,TALANSKY,USA,1988-11-23T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,,,,,,,,,,,,,,,,,55,57,57,61
188,Rigoberto,URAN URAN,COL,1987-01-26T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,,,,,,,,27,28,28,23,25,25,27,27,25,13,13,13,13
189,Dylan,VAN BAARLE,NED,1992-05-21T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,,,,,,,,,,,,,,,34,34,34,37,37,37,37
19,Alexis,VUILLERMOZ,FRA,1988-01-06T00:00:00,AG2R LA MONDIALE,,,,,,,,,3,3,3,4,5,5,5,5,9,12,12,12,12
198,Tsgabu Gebremaryam,GRMAY,ETH,1991-08-25T00:00:00,BAHRAIN - MERIDA,,,,,,,,,,,,,,,41,41,42,45,46,46,44
