id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
1,Christopher,FROOME,GBR,1985-05-20T00:00:00,TEAM SKY,10,10,19,19,41,41,41,41,56,56,56,65,73,86,86,90,105,118,118,133,133
101,Marcel,KITTEL,GER,1988-05-11T00:00:00,QUICK - STEP FLOORS,7,63,66,81,87,143,197,212,212,275,335,352,363,373,373,373,,,,,
102,Jack,BAUER,NZL,1985-07-04T00:00:00,QUICK - STEP FLOORS,0,0,0,4,4,4,6,14,14,14,14,27,32,37,37,37,37,37,37,42,42
103,Gianluca,BRAMBILLA,ITA,1987-08-22T00:00:00,QUICK - STEP FLOORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
104,Philippe,GILBERT,BEL,1982-07-05T00:00:00,QUICK - STEP FLOORS,0,0,0,0,17,17,17,19,19,19,26,26,43,62,62,,,,,,
105,Daniel,MARTIN,IRL,1986-08-20T00:00:00,QUICK - STEP FLOORS,0,0,22,22,47,47,47,51,58,58,58,68,78,89,89,89,98,106,106,106,106
106,Fabio,SABATINI,ITA,0001-01-01T00:00:00,QUICK - STEP FLOORS,0,0,0,0,0,5,5,6,6,12,17,17,17,25,25,25,25,25,25,25,25
107,Zdenek,STYBAR,CZE,1985-12-11T00:00:00,QUICK - STEP FLOORS,0,0,0,7,7,9,17,17,17,21,27,27,27,35,35,35,35,42,42,42,42
108,Matteo,TRENTIN,ITA,1989-08-02T00:00:00,QUICK - STEP FLOORS,11,11,11,13,13,13,13,13,,,,,,,,,,,,,
109,Julien,VERMOTE,BEL,1989-07-26T00:00:00,QUICK - STEP FLOORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11,Romain,BARDET,FRA,1990-09-11T00:00:00,AG2R LA MONDIALE,0,0,5,5,22,22,22,22,35,35,35,55,60,66,66,66,79,94,94,94,94
111,Peter,SAGAN,SVK,1990-01-26T00:00:00,BORA - HANSGROHE,0,14,50,15,,,,,,,,,,,,,,,,,
112,Maciej,BODNAR,POL,1985-03-07T00:00:00,BORA - HANSGROHE,0,0,0,8,8,8,8,8,8,8,23,23,23,23,23,32,32,32,32,52,52
113,Emanuel,BUCHMANN,GER,1992-11-18T00:00:00,BORA - HANSGROHE,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
114,Marcus,BURGHARDT,GER,1983-06-30T00:00:00,BORA - HANSGROHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
115,Rafal,MAJKA,POL,1989-09-12T00:00:00,BORA - HANSGROHE,0,0,7,7,12,12,12,23,23,,,,,,,,,,,,
116,Jay,MC CARTHY,AUS,1992-08-09T00:00:00,BORA - HANSGROHE,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17
119,Rüdiger,SELIG,GER,1989-02-19T00:00:00,BORA - HANSGROHE,0,0,1,6,6,14,26,26,26,44,44,44,44,44,44,44,44,44,44,44,52
12,Jan,BAKELANTS,BEL,1986-02-14T00:00:00,AG2R LA MONDIALE,0,0,0,0,11,11,11,11,28,28,28,28,28,31,57,57,57,58,83,83,83
121,Tony,MARTIN,GER,1985-04-23T00:00:00,TEAM KATUSHA ALPECIN,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,19,19,32,32
122,Marco,HALLER,AUT,1991-04-01T00:00:00,TEAM KATUSHA ALPECIN,0,0,0,0,0,3,3,3,3,13,13,13,19,19,19,19,19,19,19,19,19
123,Reto,HOLLENSTEIN,SUI,1985-08-22T00:00:00,TEAM KATUSHA ALPECIN,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13
125,Alexander,KRISTOFF,NOR,1987-07-05T00:00:00,TEAM KATUSHA ALPECIN,0,13,13,43,48,74,102,113,113,140,158,158,158,158,158,158,158,158,158,158,174
126,Maurits,LAMMERTINK,NED,1990-08-31T00:00:00,TEAM KATUSHA ALPECIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7
128,Nils,POLITT,GER,1994-03-06T00:00:00,TEAM KATUSHA ALPECIN,0,0,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,28,28,31,38
129,Rick,ZABEL,GER,1993-12-07T00:00:00,TEAM KATUSHA ALPECIN,0,2,2,2,6,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
131,André,GREIPEL,GER,1982-07-16T00:00:00,LOTTO SOUDAL,0,25,30,63,63,93,110,130,130,150,171,171,180,187,187,204,204,204,204,204,234
132,Lars Ytting,BAK,DEN,1980-01-16T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
133,Tiesj,BENOOT,BEL,0001-01-01T00:00:00,LOTTO SOUDAL,0,0,2,10,10,10,10,10,25,25,25,25,25,32,46,57,57,57,57,57,57
134,Thomas,DE GENDT,BEL,1986-11-06T00:00:00,LOTTO SOUDAL,0,0,0,3,18,19,19,19,19,24,24,39,39,59,76,76,93,110,146,146,149
135,Tony,GALLOPIN,FRA,1988-05-24T00:00:00,LOTTO SOUDAL,0,0,0,0,0,0,0,9,24,24,24,24,24,24,57,70,70,85,96,96,96
136,Adam,HANSEN,AUS,1981-05-11T00:00:00,LOTTO SOUDAL,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
137,Jurgen,ROELANDTS,BEL,1985-07-02T00:00:00,LOTTO SOUDAL,0,0,0,14,14,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,20
138,Marcel,SIEBERG,GER,1982-04-30T00:00:00,LOTTO SOUDAL,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
139,Tim,WELLENS,BEL,1991-10-05T00:00:00,LOTTO SOUDAL,0,0,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
14,Mathias,FRANK,SUI,1986-09-12T00:00:00,AG2R LA MONDIALE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
141,Michael,MATTHEWS,AUS,1990-09-26T00:00:00,TEAM SUNWEB,0,17,44,66,73,96,123,140,160,173,202,222,235,274,294,344,364,364,364,364,370
142,Nikias,ARNDT,GER,1991-11-18T00:00:00,TEAM SUNWEB,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,43,52,52
143,WARREN,BARGUIL,FRA,1991-10-28T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,3,28,28,28,32,52,52,69,69,80,100,100,100,100
144,Roy,CURVERS,NED,1979-12-27T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,0,0,2,2,2,2,6,6,6,6,6,6,6,6
145,Simon,GESCHKE,GER,1986-03-13T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,0,13,13,13,13,13,13,26,26,26,26,26,26,32
146,Ramon,SINKELDAM,NED,1989-02-09T00:00:00,TEAM SUNWEB,0,0,0,1,1,1,1,1,1,1,5,5,5,5,5,18,18,18,18,18,18
148,Mike,TEUNISSEN,NED,1992-08-25T00:00:00,TEAM SUNWEB,0,1,1,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6
149,Albert,TIMMER,NED,1985-06-13T00:00:00,TEAM SUNWEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,11,11,11
151,Nacer,BOUHANNI,FRA,1990-07-25T00:00:00,COFIDIS SOLUTIONS CREDITS,0,10,10,28,28,44,54,54,54,68,78,78,78,78,78,78,78,78,78,78,96
153,Nicolas,EDET,FRA,1987-02-12T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,12,20,20,20,22
154,Christophe,LAPORTE,FRA,1992-11-12T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17
157,Daniel,NAVARRO,ESP,1983-07-18T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,7,7,7,7,7,7,11,11,23,23,23,23,23
159,Julien,SIMON,FRA,1985-04-10T00:00:00,COFIDIS SOLUTIONS CREDITS,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,15,15,15
16,Cyril,GAUTIER,FRA,1987-09-26T00:00:00,AG2R LA MONDIALE,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,8,8,8,8,8
161,Robert,GESINK,NED,1986-05-31T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,25,,,,,,,,,,,,,
162,George,BENNETT,NZL,1990-07-04T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,3,3,3,3,12,12,12,20,20,20,20,,,,,,
163,Dylan,GROENEWEGEN,NED,1993-06-21T00:00:00,TEAM LOTTO NL - JUMBO,0,16,16,16,16,30,44,44,44,64,94,94,94,94,94,94,94,94,94,94,144
165,Paul,MARTENS,GER,1983-10-26T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
166,Primoz,ROGLIC,SLO,1989-10-29T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,0,10,10,10,10,10,10,29,29,49,49,49,51,52
167,Timo,ROOSEN,NED,1993-01-11T00:00:00,TEAM LOTTO NL - JUMBO,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,,,
168,Jos,VAN EMDEN,NED,1985-02-18T00:00:00,TEAM LOTTO NL - JUMBO,9,9,9,9,9,9,9,9,,,,,,,,,,,,,
17,Pierre-Roger,LATOUR,FRA,1993-10-12T00:00:00,AG2R LA MONDIALE,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3
171,Thomas,VOECKLER,FRA,1979-06-22T00:00:00,DIRECT ENERGIE,0,0,0,0,8,8,8,8,8,8,8,8,8,23,23,23,23,23,23,23,23
