id,first_name,last_name,country,birth_date,team,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7,stage_8,stage_9,stage_10,stage_11,stage_12,stage_13,stage_14,stage_15,stage_16,stage_17,stage_18,stage_19,stage_20,stage_21
113,Emanuel,BUCHMANN,GER,1992-11-18T00:00:00,BORA - HANSGROHE,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
116,Jay,MC CARTHY,AUS,1992-08-09T00:00:00,BORA - HANSGROHE,15,14,15,14,10,9,9,10,10,10,9,14,14,12,15,13,13,16,17,17,14
128,Nils,POLITT,GER,1994-03-06T00:00:00,TEAM KATUSHA ALPECIN,9,9,20,19,19,19,19,13,13,12,12,13,13,11,14,14,14,15,16,15,
129,Rick,ZABEL,GER,1993-12-07T00:00:00,TEAM KATUSHA ALPECIN,29,24,18,17,16,15,14,15,18,18,17,19,19,21,22,24,24,24,23,23,
133,Tiesj,BENOOT,BEL,0001-01-01T00:00:00,LOTTO SOUDAL,20,19,8,8,6,6,6,8,6,6,6,6,6,6,6,6,4,4,4,4,4
148,Mike,TEUNISSEN,NED,1992-08-25T00:00:00,TEAM SUNWEB,8,8,12,12,13,12,13,14,17,17,19,21,21,20,21,22,22,21,20,20,
154,Christophe,LAPORTE,FRA,1992-11-12T00:00:00,COFIDIS SOLUTIONS CREDITS,19,18,23,21,22,21,21,25,25,25,25,26,25,23,24,20,20,22,21,21,
158,Florian,SENECHAL,FRA,1993-10-07T00:00:00,COFIDIS SOLUTIONS CREDITS,23,20,21,24,24,25,24,27,27,27,27,27,27,28,28,28,28,28,27,26,
163,Dylan,GROENEWEGEN,NED,1993-06-21T00:00:00,TEAM LOTTO NL - JUMBO,28,23,22,20,20,20,20,24,24,24,24,25,26,26,26,26,26,26,25,25,18
167,Timo,ROOSEN,NED,1993-01-11T00:00:00,TEAM LOTTO NL - JUMBO,4,4,17,16,14,14,15,21,22,21,20,18,18,16,17,19,19,19,,,
17,Pierre-Roger,LATOUR,FRA,1993-10-12T00:00:00,AG2R LA MONDIALE,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,6,6,6,6,
172,Thomas,BOUDAT,FRA,1994-02-24T00:00:00,DIRECT ENERGIE,24,26,25,25,25,27,27,28,28,28,28,24,24,25,25,23,23,23,22,22,16
173,Lilian,CALMEJANE,FRA,1992-12-06T00:00:00,DIRECT ENERGIE,13,12,11,11,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6
182,Alberto,BETTIOL,ITA,1993-10-29T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,12,11,6,6,11,11,11,12,12,13,13,12,12,10,9,11,11,13,14,14,12
189,Dylan,VAN BAARLE,NED,1992-05-21T00:00:00,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,11,28,26,26,21,23,25,17,14,14,14,15,15,15,11,10,9,10,10,10,8
201,Guillaume,MARTIN,FRA,1993-06-09T00:00:00,WANTY - GROUPE GOBERT,26,21,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
207,Dion,SMITH,NZL,1993-03-03T00:00:00,WANTY - GROUPE GOBERT,27,22,16,15,15,13,12,20,20,20,18,20,20,19,19,21,21,20,19,19,
211,DANIEL,MC LAY,GBR,1992-01-03T00:00:00,TEAM FORTUNEO - OSCARO,18,17,19,18,26,22,22,26,26,26,26,28,28,29,29,29,,,,,
214,Elie,GESBERT,FRA,0001-01-01T00:00:00,TEAM FORTUNEO - OSCARO,22,25,14,13,9,10,10,18,16,16,16,16,16,17,16,16,16,17,12,12,10
28,Jasha,SÜTTERLIN,GER,1992-11-04T00:00:00,MOVISTAR TEAM,7,7,28,27,27,24,23,22,23,23,23,22,22,22,20,18,18,18,18,18,15
35,Michael,GOGL,AUT,1993-11-04T00:00:00,TREK - SEGAFREDO,16,15,24,23,23,26,26,19,19,19,21,23,23,24,23,25,25,25,24,24,17
44,Stefan,KUENG,SUI,1993-11-16T00:00:00,BMC RACING TEAM,1,1,3,3,17,17,16,16,15,15,15,11,10,9,10,9,10,11,11,11,9
56,Bakhtiyar,KOZHATAYEV,KAZ,1992-03-28T00:00:00,ASTANA PRO TEAM,25,29,27,28,28,28,28,23,21,22,22,17,17,18,18,17,17,14,15,16,13
57,Alexey,LUTSENKO,KAZ,1992-09-07T00:00:00,ASTANA PRO TEAM,3,3,2,2,8,8,8,7,9,9,10,9,11,13,12,12,12,9,9,9,
58,ANDERSEN Michael,VALGREN,DEN,1992-02-07T00:00:00,ASTANA PRO TEAM,14,13,10,10,18,18,17,9,8,8,8,8,8,8,8,8,8,8,8,8,7
61,Louis,MEINTJES,RSA,1992-02-21T00:00:00,UAE TEAM EMIRATES,17,16,7,7,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
76,Olivier,LE GAC,FRA,1993-08-27T00:00:00,FDJ,21,27,29,29,29,29,29,29,29,29,29,29,29,27,27,27,27,27,26,27,19
85,Damien,HOWSON,AUS,1992-08-13T00:00:00,ORICA - SCOTT,10,10,13,22,12,16,18,11,11,11,11,10,9,14,13,15,15,12,13,13,11
89,Simon,YATES,GBR,1992-07-08T00:00:00,ORICA - SCOTT,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
